P,Scenario,Model,MSE,TPR,FDR,time
20,cauchy,1. Custom_Sparse_Quantile,0.0932,0.9767,0.2107,0.0377
20,cauchy,2. Scikit_Learn_Lasso,100.2225,0.9467,0.8245,0.0006
20,cauchy,3. Unpenalized_QuantReg,0.2722,1.0,0.8479,0.049
20,exponential,1. Custom_Sparse_Quantile,0.0283,1.0,0.2519,0.038
20,exponential,2. Scikit_Learn_Lasso,0.0121,1.0,0.44,0.0006
20,exponential,3. Unpenalized_QuantReg,0.0648,1.0,0.8458,0.0486
20,gaussian,1. Custom_Sparse_Quantile,0.0308,1.0,0.2162,0.0381
20,gaussian,2. Scikit_Learn_Lasso,0.0104,1.0,0.3927,0.0006
20,gaussian,3. Unpenalized_QuantReg,0.0892,1.0,0.8466,0.0495
100,cauchy,1. Custom_Sparse_Quantile,0.0343,0.8767,0.3702,0.0422
100,cauchy,2. Scikit_Learn_Lasso,37726.0687,0.8667,0.9613,0.0028
100,cauchy,3. Unpenalized_QuantReg,659788.7977,1.0,0.97,0.0645
100,exponential,1. Custom_Sparse_Quantile,0.0081,1.0,0.3161,0.042
100,exponential,2. Scikit_Learn_Lasso,0.0028,1.0,0.7552,0.0007
100,exponential,3. Unpenalized_QuantReg,58.9954,0.9933,0.9701,0.0163
100,gaussian,1. Custom_Sparse_Quantile,0.0104,1.0,0.2888,0.0412
100,gaussian,2. Scikit_Learn_Lasso,0.0024,1.0,0.7686,0.0007
100,gaussian,3. Unpenalized_QuantReg,450.9131,1.0,0.9699,0.0164
200,cauchy,1. Custom_Sparse_Quantile,0.0187,0.8633,0.4654,0.0459
200,cauchy,2. Scikit_Learn_Lasso,71.9848,0.64,0.977,0.0058
200,cauchy,3. Unpenalized_QuantReg,57.8075,1.0,0.9849,0.0418
200,exponential,1. Custom_Sparse_Quantile,0.0052,1.0,0.3536,0.0457
200,exponential,2. Scikit_Learn_Lasso,0.0019,1.0,0.8519,0.0008
200,exponential,3. Unpenalized_QuantReg,0.0405,1.0,0.9843,0.0416
200,gaussian,1. Custom_Sparse_Quantile,0.0067,0.9967,0.3791,0.0457
200,gaussian,2. Scikit_Learn_Lasso,0.0018,1.0,0.8554,0.0008
200,gaussian,3. Unpenalized_QuantReg,0.0424,1.0,0.9843,0.0413
